Average of finish,Column Labels,
Row Labels,F,M
1,9.125,7.875
2,8.75,8.25
3,9.625,7.375
4,7.5,9.5
5,9.125,7.875
6,8.875,8.125
7,7.875,9.125
8,9.111111111,9.888888889
9,7.888888889,11.11111111
10,10.8,10.2
11,9.333333333,9.666666667
12,9.75,7.25
13,10.3,10.7
14,12.44444444,7.7
15,8,9
16,8.1,12.9
17,10.77777778,8.222222222
18,9.375,7.625
19,11.7,9.3
20,9.8,11.2
21,11.1,9.9
22,11,8
23,11.44444444,7.555555556
24,7.888888889,11.11111111
25,10.11111111,8.777777778
26,11.5,9.4
27,10.2,10.8
28,9.111111111,9.888888889
29,9,9.9
30,10,8.75
31,10.6,10.3
32,9.222222222,9.777777778
33,13.3,7.6
34,9.5,11.5
35,11.11111111,7.888888889
36,10.9,10.1
37,11.4,9.6
38,10.22222222,8.777777778
39,9.5,11.5
40,10.4,10.6
41,9.125,9.888888889
42,10,9
43,11.66666667,7.333333333
