"","version","version_season","season_name","season","full_name","castaway_id","castaway","age","city","state","episode","day","order","result","jury_status","original_tribe"
"1","AU","AU01","Survivor Australia: 2016",1,"Des Quilty","AU0001","Des",59,"Sunshine Coast","QLD",1,2,1,"1st voted out",NA,"Aganoa"
"2","AU","AU01","Survivor Australia: 2016",1,"Bianca Anderson","AU0002","Bianca",36,"Melbourne","VIC",2,5,2,"2nd voted out",NA,"Saanapu"
"3","AU","AU01","Survivor Australia: 2016",1,"Evan Jones","AU0003","Evan",30,"Melbourne","VIC",3,8,3,"3rd voted out",NA,"Aganoa"
"4","AU","AU01","Survivor Australia: 2016",1,"Peter Fiegehen","AU0004","Peter",62,"Canberra","ACT",4,10,4,"Quit",NA,"Saanapu"
"5","AU","AU01","Survivor Australia: 2016",1,"Barry Lea","AU0005","Barry",44,"Cairns","QLD",6,14,5,"4th voted out",NA,"Vavau"
"6","AU","AU01","Survivor Australia: 2016",1,"Tegan Haining","AU0006","Tegan",33,"Sydney","NSW",7,17,6,"5th voted out",NA,"Vavau"
"7","AU","AU01","Survivor Australia: 2016",1,"Rohan MacLauren","AU0007","Rohan",28,"Melbourne","VIC",9,21,7,"6th voted out",NA,"Aganoa"
"8","AU","AU01","Survivor Australia: 2016",1,"Kat Dumont","AU0008","Kat",26,"Perth","WA",10,23,8,"7th voted out",NA,"Aganoa"
"9","AU","AU01","Survivor Australia: 2016",1,"Andrew Torrens","AU0009","Andrew",29,"Brisbane","QLD",11,25,9,"8th voted out",NA,"Vavau"
"10","AU","AU01","Survivor Australia: 2016",1,"Craig I'Anson","AU0010","Craig",32,"Brisbane","QLD",12,27,10,"9th voted out",NA,"Vavau"
"11","AU","AU01","Survivor Australia: 2016",1,"Phoebe Timmins","AU0011","Phoebe",27,"Sydney","NSW",14,31,11,"10th voted out",NA,"Aganoa"
"12","AU","AU01","Survivor Australia: 2016",1,"Conner Bethune","AU0012","Conner",23,"Canberra","ACT",15,33,12,"11th voted out",NA,"Saanapu"
"13","AU","AU01","Survivor Australia: 2016",1,"Kate Campbell","AU0013","Kate",28,"Perth","WA",16,35,13,"12th voted out",NA,"Vavau"
"14","AU","AU01","Survivor Australia: 2016",1,"Nick Iadanza","AU0014","Nick",28,"Adelaide","SA",17,37,14,"13th voted out","1st jury member","Vavau"
"15","AU","AU01","Survivor Australia: 2016",1,"Kylie Evans","AU0015","Kylie",38,"Melbourne","VIC",18,39,15,"14th voted out","2nd jury member","Saanapu"
"16","AU","AU01","Survivor Australia: 2016",1,"Sue Clark","AU0016","Sue",59,"Perth","WA",19,41,16,"15th voted out","3rd jury member","Vavau"
"17","AU","AU01","Survivor Australia: 2016",1,"Jennah-Louise Salkeld","AU0017","Jennah-Louise",27,"Gold Coast","QLD",20,43,17,"16th voted out","4th jury member","Vavau"
"18","AU","AU01","Survivor Australia: 2016",1,"Brooke Jowett","AU0018","Brooke",23,"Melbourne","VIC",21,45,18,"17th voted out","5th jury member","Saanapu"
"19","AU","AU01","Survivor Australia: 2016",1,"Sam Webb","AU0019","Sam",28,"Sydney","NSW",23,49,19,"18th voted out","6th jury member","Saanapu"
"20","AU","AU01","Survivor Australia: 2016",1,"Matt Tarrant","AU0020","Matt",29,"Adelaide","SA",24,51,20,"19th voted out","7th jury member","Saanapu"
"21","AU","AU01","Survivor Australia: 2016",1,"Felicity Egginton","AU0021","Flick",23,"Gold Coast","QLD",25,53,21,"20th voted out","8th jury member","Saanapu"
"22","AU","AU01","Survivor Australia: 2016",1,"Elena Rowland","AU0022","El",33,"Brisbane","QLD",26,54,22,"21st voted out","9th jury member","Aganoa"
"23","AU","AU01","Survivor Australia: 2016",1,"Lee Carseldine","AU0023","Lee",40,"Brisbane","QLD",26,55,23,"Runner-up",NA,"Aganoa"
"24","AU","AU01","Survivor Australia: 2016",1,"Kristie Bennet","AU0024","Kristie",24,"Sydney","NSW",26,55,24,"Sole Survivor",NA,"Aganoa"
"25","AU","AU02","Survivor Australia: 2017",2,"Joan Caballero","AU0025","Joan",29,"Sydney","NSW",1,3,1,"1st voted out",NA,"Asaga"
"26","AU","AU02","Survivor Australia: 2017",2,"Adam Parkin","AU0026","Adam",40,"Brisbane","QLD",2,6,2,"2nd voted out",NA,"Samatau"
"27","AU","AU02","Survivor Australia: 2017",2,"Kate Temby","AU0027","Kate",47,"Melbourne","VIC",3,9,3,"3rd voted out",NA,"Samatau"
"28","AU","AU02","Survivor Australia: 2017",2,"Mark Herlaar","AU0028","Tarzan",51,"Toowoomba","QLD",4,11,4,"4th voted out",NA,"Samatau"
"29","AU","AU02","Survivor Australia: 2017",2,"Aimee Stanton","AU0029","Aimee",23,"Melbourne","VIC",5,13,5,"5th voted out",NA,"Samatau"
"30","AU","AU02","Survivor Australia: 2017",2,"Samantha Gash","AU0030","Sam",32,"Melbourne","VIC",6,16,6,"6th voted out",NA,"Asaga"
"31","AU","AU02","Survivor Australia: 2017",2,"Mark Wales","AU0031","Mark",37,"Perth","WA",7,18,7,"7th voted out",NA,"Asaga"
"32","AU","AU02","Survivor Australia: 2017",2,"Jacqui Patterson","AU0032","Jacqui",50,"Byron Bay","NSW",8,22,8,"8th voted out",NA,"Asaga"
"33","AU","AU02","Survivor Australia: 2017",2,"Kent Nelson","AU0033","Kent",51,"Adelaide","SA",10,24,9,"9th voted out",NA,"Asaga"
"34","AU","AU02","Survivor Australia: 2017",2,"Aaron Knight","AU0034","AK",29,"Adelaide","SA",12,28,10,"10th voted out",NA,"Samatau"
"35","AU","AU02","Survivor Australia: 2017",2,"Ben Morgan","AU0035","Ben",20,"Perth","WA",13,30,11,"11th voted out",NA,"Asaga"
"36","AU","AU02","Survivor Australia: 2017",2,"Odette Blacklock","AU0036","Odette",32,"Sydney","NSW",15,34,12,"12th voted out",NA,"Asaga"
"37","AU","AU02","Survivor Australia: 2017",2,"Jarrad Seng","AU0037","Jarrad",29,"Perth","WA",16,36,13,"13th voted out","1st jury member","Samatau"
"38","AU","AU02","Survivor Australia: 2017",2,"Anneliese Wilson","AU0038","Anneliese",23,"Melbourne","VIC",17,38,14,"14th voted out","2nd jury member","Samatau"
"39","AU","AU02","Survivor Australia: 2017",2,"Henry Nicholson","AU0039","Henry",26,"Adelaide","SA",18,40,15,"15th voted out","3rd jury member","Asaga"
"40","AU","AU02","Survivor Australia: 2017",2,"Tessa O'Halloran","AU0040","Tessa",29,"Melbourne","VIC",19,42,16,"16th voted out","Removed from jury","Samatau"
"41","AU","AU02","Survivor Australia: 2017",2,"Sarah Tilleke","AU0041","Sarah",22,"Perth","WA",20,44,17,"17th voted out","4th jury member","Asaga"
"42","AU","AU02","Survivor Australia: 2017",2,"Luke Toki","AU0042","Luke",30,"Perth","WA",21,46,18,"18th voted out","5th jury member","Asaga"
"43","AU","AU02","Survivor Australia: 2017",2,"Ziggy Zagame","AU0043","Ziggy",26,"Sydney","NSW",22,47,19,"19th voted out","6th jury member","Samatau"
"44","AU","AU02","Survivor Australia: 2017",2,"Locky Gilbert","AU0044","Locky",27,"Perth","WA",23,49,20,"20th voted out","7th jury member","Samatau"
"45","AU","AU02","Survivor Australia: 2017",2,"Michelle Dougan","AU0045","Michelle",33,"Sydney","NSW",25,52,21,"21st voted out","8th jury member","Asaga"
"46","AU","AU02","Survivor Australia: 2017",2,"Peter Conte","AU0046","Peter",22,"Sydney","NSW",26,54,22,"22nd voted out","9th jury member","Samatau"
"47","AU","AU02","Survivor Australia: 2017",2,"Tara Pitt","AU0047","Tara",32,"Sunshine Coast","QLD",26,55,23,"Runner-up",NA,"Samatau"
"48","AU","AU02","Survivor Australia: 2017",2,"Jericho Malabonga","AU0048","Jericho",25,"Melbourne","VIC",26,55,24,"Sole Survivor",NA,"Asaga"
"49","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Matthew Dyson","AU0049","Matt",35,"Brisbane","QLD",1,2,1,"1st voted out",NA,"Contenders"
"50","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Russell Hantz","US0300","Russell",46,"Texas","USA",2,5,2,"2nd voted out",NA,"Champions"
"51","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Damien Thomlinson","AU0050","Damien",36,"Sydney","NSW",3,8,3,"3rd voted out",NA,"Champions"
"52","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Steve Khouw","AU0051","Steve K.",58,"Sydney","NSW",4,11,4,"4th voted out",NA,"Contenders"
"53","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Jenna Austin","AU0052","Jenna",28,"Perth","WA",5,13,5,"5th voted out",NA,"Contenders"
"54","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Moana Hope","AU0053","Moana",30,"Melbourne","VIC",6,16,6,"6th voted out",NA,"Champions"
"55","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Tegan Gasior","AU0054","Tegan",32,"Derby","WA",7,18,7,"7th voted out",NA,"Contenders"
"56","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Anita Berkett","AU0055","Anita",50,"Sunshine Coast","QLD",8,20,8,"8th voted out",NA,"Contenders"
"57","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Zach Kozyrski","AU0056","Zach",39,"Perth","WA",9,22,9,"9th voted out",NA,"Contenders"
"58","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Paige Kerin","AU0057","Paige",24,"Adelaide","SA",10,24,10,"10th voted out",NA,"Contenders"
"59","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Jackie Glazier","AU0058","Jackie",44,"Melbourne","VIC",11,25,11,"11th voted out",NA,"Champions"
"60","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Tegan Gasior","AU0054","Tegan",32,"Derby","WA",12,28,12,"12th voted out",NA,"Contenders"
"61","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Heath Davies","AU0059","Heath",33,"Brisbane","QLD",13,30,13,"13th voted out",NA,"Contenders"
"62","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Lydia Lassila","AU0060","Lydia",36,"Melbourne","VIC",14,32,14,"14th voted out",NA,"Champions"
"63","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Robbie Skibicki","AU0061","Robbie",25,"Adelaide","SA",15,33,15,"15th voted out","1st jury member","Contenders"
"64","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Samuel Hinton","AU0062","Samuel",26,"Brisbane","QLD",16,35,16,"16th voted out","2nd jury member","Champions"
"65","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Mat Rogers","AU0063","Mat",42,"Gold Coast","QLD",17,37,17,"17th voted out","3rd jury member","Champions"
"66","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Benji Wilson","AU0064","Benji",26,"Melbourne","VIC",18,39,18,"18th voted out","4th jury member","Contenders"
"67","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Steve Willis","AU0065","Steve W.",41,"Brisbane","QLD",20,42,19,"19th voted out","5th jury member","Champions"
"68","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Fenella McGowan","AU0066","Fenella",33,"Melbourne","VIC",21,44,20,"20th voted out","6th jury member","Contenders"
"69","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Monika Radulovic","AU0067","Monika",27,"Sydney","NSW",22,46,21,"21st voted out","7th jury member","Champions"
"70","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Shonee Fairfax","AU0068","Shonee",26,"Tewantin","QLD",23,47,22,"22nd voted out","8th jury member","Contenders"
"71","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Brian Lake","AU0069","Brian",36,"Caroline Springs","VIC",24,49,23,"23rd voted out","9th jury member","Champions"
"72","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Sharn Coombes","AU0070","Sharn",41,"Melbourne","VIC",24,50,24,"Runner-up",NA,"Champions"
"73","AU","AU03","Survivor Australia: Champions vs. Contenders",3,"Shane Gould","AU0071","Shane",61,"Bicheno","Tasmania",24,50,25,"Sole Survivor",NA,"Champions"
"74","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Anastasia Woolmer","AU0072","Anastasia",42,"Brisbane","QLD",1,2,1,"1st voted out",NA,"Champions"
"75","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Laura Choong","AU0073","Laura",31,"Sydney","NSW",2,5,2,"2nd voted out",NA,"Contenders"
"76","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Susie Maroney","AU0074","Susie",44,"Cronulla","NSW",3,7,3,"3rd voted out",NA,"Champions"
"77","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Nova Peris","AU0075","Nova",48,"Darwin","NT",4,10,4,"4th voted out",NA,"Champions"
"78","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Steven Bradbury","AU0076","Steven",45,"Camden","NSW",5,12,5,"5th voted out",NA,"Champions"
"79","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"ET Ettingshausen","AU0077","ET",53,"Sutherland","NSW",6,14,6,"6th voted out",NA,"Champions"
"80","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Sam Schoers","AU0078","Sam",30,"Perth","WA",7,16,7,"7th voted out",NA,"Contenders"
"81","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Sarah Ayles","AU0079","Sarah",45,"Adelaide","SA",8,18,8,"8th voted out",NA,"Contenders"
"82","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Hannah Pentreath","AU0080","Hannah",27,"Bendigo","VIC",10,22,9,"9th voted out",NA,"Contenders"
"83","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Casey Hawkins","AU0081","Casey",31,"Adelaide","SA",11,24,10,"10th voted out",NA,"Contenders"
"84","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Matt Farrelly","AU0082","Matt",29,"Sydney","NSW",12,26,11,"11th voted out",NA,"Contenders"
"85","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Ross Clarke-Jones","AU0083","Ross",53,"Bells Beach","VIC",13,28,12,"Evacuated",NA,"Champions"
"86","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Andy Meldrum","AU0084","Andy",47,"Noosa","QLD",14,30,13,"12th voted out",NA,"Contenders"
"87","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Shaun Hampson","AU0085","Shaun",31,"Moonee Ponds","VIC",15,32,14,"13th voted out","1st jury member","Contenders"
"88","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"David Genat","AU0086","David",39,"New York City","NY",16,34,15,"14th voted out","2nd jury member","Champions"
"89","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"John Eastoe","AU0087","John",28,"Kalgoorlie","WA",17,36,16,"15th voted out","3rd jury member","Contenders"
"90","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Daisy Richardson","AU0088","Daisy",24,"Brisbane","QLD",18,38,17,"16th voted out","4th jury member","Contenders"
"91","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Simon Black","AU0089","Simon",39,"Brisbane","QLD",19,40,18,"17th voted out",NA,"Champions"
"92","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,"Simon Black","AU0089","Simon",39,"Brisbane","QLD",20,42,19,"18th voted out","5th jury member","Champions"
