"","castaway_id","full_name","castaway","date_of_birth","date_of_death","gender","race","ethnicity","poc","occupation","personality_type"
"1","AU0001","Des Quilty","Des",NA,NA,"Male",NA,NA,NA,"Courier Driver",NA
"2","AU0002","Bianca Anderson","Bianca",NA,NA,"Female",NA,NA,NA,"Private Investigator",NA
"3","AU0003","Evan Jones","Evan",NA,NA,"Male",NA,NA,NA,"High School Teacher",NA
"4","AU0004","Peter Fiegehen","Peter",NA,NA,"Male",NA,NA,NA,"Air Traffic Controller",NA
"5","AU0005","Barry Lea","Barry",NA,NA,"Male",NA,"Aboriginal or Torres Strait Islander",NA,"Former Pro-Rugby Player",NA
"6","AU0006","Tegan Haining","Tegan",NA,NA,"Female",NA,NA,NA,"Personal Trainer",NA
"7","AU0007","Rohan MacLauren","Rohan",NA,NA,"Male",NA,NA,NA,"Model",NA
"8","AU0008","Kat Dumont","Katinka",1989-09-21,NA,"Female",NA,NA,NA,"Partnerships and Brand Manager",NA
"9","AU0009","Andrew Torrens","Andrew",NA,NA,"Male",NA,NA,NA,"Marketing Expert",NA
"10","AU0010","Craig I'Anson","Craig",NA,NA,"Male",NA,NA,NA,"Recruitment Officer",NA
"11","AU0011","Phoebe Timmins","Phoebe",1988-12-04,NA,"Female",NA,NA,NA,"Criminal Lawyer",NA
"12","AU0012","Conner Bethune","Conner",NA,NA,"Male",NA,NA,NA,"Law Student",NA
"13","AU0013","Kate Campbell","Kate",NA,NA,"Female",NA,NA,NA,"Financial Analyst",NA
"14","AU0014","Nick Iadanza","Nick",1988-05-20,NA,"Male",NA,NA,NA,"High School Teacher",NA
"15","AU0015","Kylie Evans","Kylie",1978-04-27,NA,"Female",NA,NA,NA,"Firefighter",NA
"16","AU0016","Sue Clark","Sue",NA,NA,"Female",NA,NA,NA,"Personal Trainer",NA
"17","AU0017","Jennah-Louise Salkeld","Jennah-Louise",NA,NA,"Female",NA,NA,NA,"Law Graduate",NA
"18","AU0018","Brooke Jowett","Brooke",1993-02-25,NA,"Female",NA,NA,NA,"Sales Executive",NA
"19","AU0019","Sam Webb","Sam",1988-05-30,NA,"Male",NA,NA,NA,"Charity CEO",NA
"20","AU0020","Matt Tarrant","Matt",NA,NA,"Male",NA,NA,NA,"Magician",NA
"21","AU0021","Felicity Egginton","Flick",1992-12-15,NA,"Female",NA,NA,NA,"Personal Assistant",NA
"22","AU0022","Elena Rowland","El",NA,NA,"Female",NA,NA,NA,"Army Corporal",NA
"23","AU0023","Lee Carseldine","Lee",NA,NA,"Male",NA,NA,NA,"Former Pro-Cricketer",NA
"24","AU0024","Kristie Bennet","Kristie",1991-12-15,NA,"Female",NA,NA,NA,"Senior Account Executive",NA
"25","AU0025","Joan Caballero","Joan",NA,NA,"Female",NA,NA,NA,"Escape Room Owner",NA
"26","AU0026","Adam Parkin","Adam",NA,NA,"Male",NA,NA,NA,"Pro Poker Player",NA
"27","AU0027","Kate Temby","Kate",NA,NA,"Female",NA,NA,NA,"Financial Executive",NA
"28","AU0028","Mark Herlaar","Tarzan",NA,NA,"Male",NA,NA,NA,"Lime Farmer",NA
"29","AU0029","Aimee Stanton","Aimee",NA,NA,"Female",NA,NA,NA,"Plumber",NA
"30","AU0030","Samantha Gash","Sam",1984-10-14,NA,"Female",NA,NA,NA,"Endurance Athlete","ENFJ"
"31","AU0031","Mark Wales","Mark",NA,NA,"Male",NA,NA,NA,"Former SAS","ESTJ"
"32","AU0032","Jacqui Patterson","Jacqui",NA,NA,"Female",NA,NA,NA,"Wedding Celebrant",NA
"33","AU0033","Kent Nelson","Kent",NA,NA,"Male",NA,NA,NA,"Chief Financial Officer",NA
"34","AU0034","Aaron Knight","AK",NA,NA,"Male",NA,NA,NA,"Wedding DJ",NA
"35","AU0035","Ben Morgan","Ben",NA,NA,"Male",NA,NA,NA,"Fast Food Attendant",NA
"36","AU0036","Odette Blacklock","Odette",NA,NA,"Female",NA,NA,NA,"Podiatrist",NA
"37","AU0037","Jarrad Seng","Jarrad",1988-02-02,NA,"Male","Asian","Malaysian/Chinese",NA,"Photographer",NA
"38","AU0038","Anneliese Wilson","Anneliese",NA,NA,"Female",NA,NA,NA,"Student",NA
"39","AU0039","Henry Nicholson","Henry",NA,NA,"Male",NA,NA,NA,"Labourer",NA
"40","AU0040","Tessa O'Halloran","Tessa",NA,NA,"Female",NA,NA,NA,"Doctor",NA
"41","AU0041","Sarah Tilleke","Sarah",NA,NA,"Female",NA,NA,NA,"Model",NA
"42","AU0042","Luke Toki","Luke",NA,NA,"Male",NA,NA,NA,"Mining Technician",NA
"43","AU0043","Nicola Zagame","Ziggy",1990-08-11,NA,"Female",NA,NA,NA,"Olympian",NA
"44","AU0044","Locklan Gilbert","Locky",NA,NA,"Male",NA,NA,NA,"Adventure Guide",NA
"45","AU0045","Michelle Dougan","Michelle",NA,NA,"Female",NA,NA,NA,"Nanny",NA
"46","AU0046","Peter Conte","Peter",NA,NA,"Male",NA,NA,NA,"Digital Advertising Producer",NA
"47","AU0047","Tara Pitt","Tara",NA,NA,"Female",NA,NA,NA,"Barrel Racer",NA
"48","AU0048","Jericho Malabonga","Jericho",NA,NA,"Male",NA,NA,NA,"Flight Attendant",NA
"49","AU0049","Matthew Dyson","Matt",NA,NA,"Male",NA,NA,NA,"Traffice Police Officer",NA
"50","AU0050","Damien Thomlinson","Damien",NA,NA,"Male",NA,NA,NA,"Former Special Forces Commando",NA
"51","AU0051","Steve Khouw","Steve K.",NA,NA,"Male",NA,NA,NA,"Takeaway Delivery Rider",NA
"52","AU0052","Jenna Austin","Jenna",NA,NA,"Female",NA,NA,NA,"FIFO Worker",NA
"53","AU0053","Moana Hope","Moana",1988-02-14,NA,"Female",NA,NA,NA,"AFLW Player",NA
"54","AU0054","Tegan Gasior","Tegan",NA,NA,"Female",NA,NA,NA,"Managing Consultant",NA
"55","AU0055","Anita Berkett","Anita",NA,NA,"Female",NA,NA,NA,"Sales Rep",NA
"56","AU0056","Zach Kozyrski","Zach",1979-01-28,NA,"Male",NA,NA,NA,"Personal Trainer",NA
"57","AU0057","Paige Kerin","Paige",NA,NA,"Female",NA,NA,NA,"Marketing Coordinator",NA
"58","AU0058","Jackie Glazier","Jackie",1973-11-28,NA,"Female",NA,NA,NA,"World Series Poker Player",NA
"59","AU0059","Heath Davies","Heath",NA,NA,"Male",NA,NA,NA,"Builder",NA
